step,measure,x,y,z,label
1,all workers by sex,US,36337,Men,
1,all workers by sex,US,25792,Women,$0.71 
1,all workers by sex,Connecticut,45716,Men,
1,all workers by sex,Connecticut,31667,Women,$0.69 
2,all workers by sex and edu,No diploma,26492,Men,
2,all workers by sex and edu,High school,40996,Men,
2,all workers by sex and edu,Some college,47946,Men,
2,all workers by sex and edu,Bachelor's,75320,Men,
2,all workers by sex and edu,Graduate,99133,Men,
2,all workers by sex and edu,No diploma,18450,Women,
2,all workers by sex and edu,High school,26899,Women,
2,all workers by sex and edu,Some college,33868,Women,
2,all workers by sex and edu,Bachelor's,48025,Women,
2,all workers by sex and edu,Graduate,65320,Women,
3,worker type,Men,0.672,Full-time,67% work full-time
3,worker type,Men,0.328,Part-time,
3,worker type,Women,0.535,Full-time,54%
3,worker type,Women,0.465,Part-time,
4,full time by sex,US,49450,Men,
4,full time by sex,US,39209,Women,$0.79 
4,full time by sex,Connecticut,62071,Men,
4,full time by sex,Connecticut,50211,Women,$0.81 
5,full-time income by occupation,"Mgmt, business, financial",101549,Men,
5,full-time income by occupation,"Computer, engin., science",86120,Men,
5,full-time income by occupation,Service,40319,Men,
5,full-time income by occupation,"Mgmt, business, financial",72348,Women,"$29,201 gap"
5,full-time income by occupation,"Computer, engin., science",75384,Women,"$10,736 "
5,full-time income by occupation,Service,30449,Women,"$9,870 "
6,full time by race and sex,All,62071,Men,
6,full time by race and sex,All,50211,Women,$0.81 
6,full time by race and sex,White,69740,Men,
6,full time by race and sex,White,53934,Women,$0.87 
6,full time by race and sex,Asian,72450,Men,
6,full time by race and sex,Asian,55957,Women,$0.90 
6,full time by race and sex,Black,44049,Men,
6,full time by race and sex,Black,40723,Women,$0.66 
6,full time by race and sex,Latinx,36853,Men,
6,full time by race and sex,Latinx,32815,Women,$0.53 
7,wage equality,All,62071,Men,
7,wage equality,All,62071,Women,
7,wage equality,White,62071,Men,
7,wage equality,White,62071,Women,
7,wage equality,Asian,62071,Men,
7,wage equality,Asian,62071,Women,
7,wage equality,Black,62071,Men,
7,wage equality,Black,62071,Women,
7,wage equality,Latinx,62071,Men,
7,wage equality,Latinx,62071,Women,
