step,measure,x,y,z,label
1,all workers by location,US,30926,US,
1,all workers by location,Connecticut,38324,Connecticut,
2,wage gap pie,Connecticut,0.31,PieUnfill,
2,wage gap pie,Connecticut,0.69,PieFill,
3,all workers by sex and edu,No diploma,26492,Men,
3,all workers by sex and edu,High school,40996,Men,
3,all workers by sex and edu,Some college,47946,Men,
3,all workers by sex and edu,Bachelor's,75320,Men,
3,all workers by sex and edu,Graduate,99133,Men,
3,all workers by sex and edu,No diploma,18450,Women,
3,all workers by sex and edu,High school,26899,Women,
3,all workers by sex and edu,Some college,33868,Women,
3,all workers by sex and edu,Bachelor's,48025,Women,
3,all workers by sex and edu,Graduate,65320,Women,
4,worker type,Men,0.672,Full-time,
4,worker type,Men,0.328,Part-time,
4,worker type,Women,0.535,Full-time,
4,worker type,Women,0.465,Part-time,
5,full time by sex,US,49450,Men,
5,full time by sex,US,39209,Women,
5,full time by sex,Connecticut,62071,Men,
5,full time by sex,Connecticut,50211,Women,
6,full-time income by occupation,"Mgmt, business, financial",101549,Men,
6,full-time income by occupation,"Computer, engin., science",86120,Men,
6,full-time income by occupation,Service,40319,Men,
6,full-time income by occupation,"Mgmt, business, financial",72348,Women,
6,full-time income by occupation,"Computer, engin., science",75384,Women,
6,full-time income by occupation,Service,30449,Women,
7,full time by race and sex,White,69740,Men,
7,full time by race and sex,White,53934,Women,
7,full time by race and sex,Asian,72450,Men,
7,full time by race and sex,Asian,55957,Women,
7,full time by race and sex,Black,44049,Men,
7,full time by race and sex,Black,40723,Women,
7,full time by race and sex,Latinx,36853,Men,
7,full time by race and sex,Latinx,32815,Women,
8,wage equality,White,62071,Men,
8,wage equality,White,62071,Women,
8,wage equality,Asian,62071,Men,
8,wage equality,Asian,62071,Women,
8,wage equality,Black,62071,Men,
8,wage equality,Black,62071,Women,
8,wage equality,Latinx,62071,Men,
8,wage equality,Latinx,62071,Women,
